date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,score1,score2
2000-01-02,1999,0,,NE,BAL,1470.028,1515.496,0.5280792330278762,0.4719207669721238,1497.068,1488.455,20,3
2000-01-02,1999,0,,PHI,LAR,1361.371,1654.705,0.21175213703712975,0.7882478629628702,1397.95,1618.126,38,31
2000-01-02,1999,0,,DEN,LAC,1600.131,1418.334,0.8054446415735542,0.19455535842644578,1564.823,1453.641,6,12
2000-01-02,1999,0,,JAX,CIN,1671.474,1317.024,0.9179299773840266,0.0820700226159734,1675.458,1313.039,24,7
2000-01-02,1999,0,,NYJ,SEA,1579.147,1547.392,0.6357503687677363,0.3642496312322637,1595.88,1530.659,19,9
2000-01-02,1999,0,,PIT,TEN,1440.158,1605.169,0.3599204123000592,0.6400795876999408,1423.048,1622.279,36,47
2000-01-02,1999,0,,WSH,MIA,1523.221,1530.353,0.5825171071837565,0.4174828928162435,1543.437,1510.137,21,10
2000-01-02,1999,0,,MIN,DET,1656.238,1468.918,0.8103783823236593,0.18962161767634067,1663.313,1461.843,24,17
2000-01-02,1999,0,,KC,OAK,1562.211,1522.773,0.6459293023998984,0.35407069760010157,1543.409,1541.575,38,41
2000-01-02,1999,0,,GB,ARI,1537.004,1404.335,0.7572891316558825,0.24271086834411748,1551.515,1389.823,49,24
2000-01-02,1999,0,,CHI,TB,1416.686,1600.459,0.33543324924518164,0.6645667507548183,1399.449,1617.696,6,20
2000-01-02,1999,0,,CAR,NO,1443.228,1348.295,0.7151741939162657,0.2848258060837343,1461.796,1329.727,45,13
2000-01-02,1999,0,,BUF,IND,1603.1,1614.096,0.577098095429701,0.42290190457029897,1629.997,1587.199,31,6
2000-01-02,1999,0,,DAL,NYG,1509.415,1450.987,0.6705135502235137,0.32948644977648633,1523.125,1437.277,26,18
2000-01-03,1999,0,,ATL,SF,1433.235,1368.096,0.6789913467731391,0.3210086532268609,1444.096,1357.235,34,29
2000-01-08,1999,0,w,WSH,DET,1543.437,1461.843,0.6992781626708322,0.3007218373291678,1558.707,1446.573,27,13
2000-01-08,1999,0,w,TEN,BUF,1622.279,1629.997,0.5816965267182524,0.41830347328174755,1638.145,1614.13,22,16
2000-01-09,1999,0,w,MIN,DAL,1663.313,1523.125,0.7651557851726789,0.2348442148273211,1675.731,1510.707,27,10
2000-01-09,1999,0,w,SEA,MIA,1530.659,1510.137,0.620649093925513,0.37935090607448696,1512.755,1528.041,17,20
2000-01-15,1999,0,d,JAX,MIA,1675.458,1528.041,0.7725507462083904,0.22744925379160963,1692.157,1511.342,62,7
2000-01-15,1999,0,d,TB,WSH,1617.696,1558.707,0.6712266071774362,0.3287733928225638,1622.011,1554.392,14,13
2000-01-16,1999,0,d,LAR,MIN,1618.126,1675.731,0.5106406536771463,0.4893593463228537,1643.146,1650.711,49,37
2000-01-16,1999,0,d,IND,TEN,1587.199,1638.145,0.5202143077510322,0.47978569224896783,1572.683,1652.661,16,19
2000-01-23,1999,0,c,LAR,TB,1643.146,1622.011,0.6214795527751931,0.37852044722480693,1656.199,1608.957,11,6
2000-01-23,1999,0,c,JAX,TEN,1692.157,1652.661,0.646005657403318,0.35399434259668205,1651.522,1693.297,14,33
2000-01-30,1999,1,s,LAR,TEN,1656.199,1693.297,0.44681366312621384,0.5531863368737862,1679.6,1669.896,23,16
2000-09-03,2000,0,,NYG,ARI,1459.851,1428.216,0.6355903896141557,0.3644096103858443,1472.361,1415.706,21,16
2000-09-03,2000,0,,NE,TB,1499.712,1574.305,0.48619807042145974,0.5138019295785403,1482.365,1591.652,16,21
2000-09-03,2000,0,,NO,DET,1388.151,1466.049,0.48144680815656304,0.518553191843437,1372.744,1481.456,10,14
2000-09-03,2000,0,,MIN,CHI,1602.141,1434.633,0.7922305895967497,0.20776941040325025,1607.351,1429.423,30,27
2000-09-03,2000,0,,MIA,SEA,1509.228,1510.17,0.591156293156925,0.408843706843075,1534.479,1484.919,23,0
2000-09-03,2000,0,,KC,IND,1530.606,1550.122,0.5650853436545622,0.4349146563454378,1500.151,1580.578,14,27
2000-09-03,2000,0,,ATL,SF,1464.398,1406.49,0.6698519044260006,0.3301480955739994,1478.138,1392.749,36,28
2000-09-03,2000,0,,WSH,CAR,1537.928,1476.197,0.6747004311454187,0.32529956885458133,1546.456,1467.669,20,17
2000-09-03,2000,0,,PIT,BAL,1450.365,1493.97,0.5307510198889437,0.4692489801110563,1419.995,1524.34,0,16
2000-09-03,2000,0,,OAK,LAC,1529.383,1470.761,0.6707602221971268,0.32923977780287317,1538.026,1462.118,9,6
2000-09-03,2000,0,,GB,NYJ,1536.01,1565.587,0.5508018891407456,0.44919811085925443,1517.99,1583.606,16,20
2000-09-03,2000,0,,DAL,PHI,1508.805,1433.633,0.691447430656176,0.308552569343824,1459.588,1482.85,14,41
2000-09-03,2000,0,,CLE,JAX,1298.931,1602.681,0.20191706491178787,0.7980829350882122,1287.84,1613.772,7,27
2000-09-03,2000,0,,BUF,TEN,1577.754,1614.931,0.5399551417487275,0.4600448582512725,1590.349,1602.335,16,13
2000-09-04,2000,0,,LAR,DEN,1621.4,1544.882,0.6930980357417055,0.3069019642582945,1631.733,1534.549,41,36
2000-09-10,2000,0,,BUF,GB,1590.349,1517.99,0.6879820360899761,0.3120179639100239,1603.874,1504.466,27,18
2000-09-10,2000,0,,TB,CHI,1591.652,1429.423,0.7871841997776925,0.2128158002223075,1606.072,1415.003,41,0
2000-09-10,2000,0,,SF,CAR,1392.749,1467.669,0.48572785052587564,0.5142721494741244,1365.35,1495.069,22,38
2000-09-10,2000,0,,BAL,JAX,1524.34,1613.772,0.4648973678218629,0.5351026321781371,1539.343,1598.77,39,36
2000-09-10,2000,0,,PHI,NYG,1482.85,1472.361,0.6069595496097545,0.3930404503902455,1447.997,1507.213,18,33
2000-09-10,2000,0,,TEN,KC,1602.335,1500.151,0.7235997607643329,0.27640023923566714,1609.457,1493.029,17,14
2000-09-10,2000,0,,MIN,MIA,1607.351,1534.479,0.6886155970730387,0.31138440292696135,1618.755,1523.075,13,7
2000-09-10,2000,0,,DET,WSH,1481.456,1546.456,0.5,0.5,1499.373,1528.539,15,10
2000-09-10,2000,0,,DEN,ATL,1534.549,1478.138,0.667943376427552,0.33205662357244803,1555.742,1456.945,42,14
2000-09-10,2000,0,,ARI,DAL,1415.706,1459.588,0.5303538732926971,0.4696461267073029,1422.155,1453.139,32,31
2000-09-10,2000,0,,IND,OAK,1580.578,1538.026,0.6500181705253429,0.34998182947465706,1552.155,1566.449,31,38
2000-09-10,2000,0,,SEA,LAR,1484.919,1631.733,0.3843892290366925,0.6156107709633075,1474.643,1642.009,34,37
2000-09-10,2000,0,,LAC,NO,1462.118,1372.744,0.7086111251764472,0.2913888748235528,1451.553,1383.309,27,28
2000-09-10,2000,0,,CIN,CLE,1377.026,1287.84,0.7083876174733689,0.29161238252663113,1332.99,1331.876,7,24
2000-09-11,2000,0,,NYJ,NE,1583.606,1482.365,0.7225127581009915,0.27748724189900853,1587.183,1478.788,20,19
2000-09-17,2000,0,,NE,MIN,1478.788,1618.755,0.39375752191320196,0.6062424780867981,1462.055,1635.488,13,21
2000-09-17,2000,0,,KC,LAC,1493.029,1451.553,0.6486077737398457,0.3513922262601543,1516.467,1428.115,42,10
2000-09-17,2000,0,,SEA,NO,1474.643,1383.309,0.7109352910070101,0.28906470899298986,1487.586,1370.366,20,10
2000-09-17,2000,0,,OAK,DEN,1566.449,1555.742,0.6072588800211236,0.3927411199788764,1537.487,1584.704,24,33
2000-09-17,2000,0,,NYJ,BUF,1587.183,1603.874,0.5690776444335317,0.4309223555664683,1609.439,1581.618,27,14
2000-09-17,2000,0,,MIA,BAL,1523.075,1539.343,0.5696746705880186,0.4303253294119814,1545.296,1517.122,19,6
2000-09-17,2000,0,,JAX,CIN,1598.77,1332.99,0.8703574275739053,0.12964257242609467,1604.718,1327.042,13,0
2000-09-17,2000,0,,GB,PHI,1504.466,1447.997,0.6680174240521122,0.3319825759478878,1513.189,1439.274,6,3
2000-09-17,2000,0,,DET,TB,1499.373,1606.072,0.44027680401856034,0.5597231959814397,1472.661,1632.784,10,31
2000-09-17,2000,0,,CLE,PIT,1331.876,1419.995,0.46677810352740945,0.5332218964725906,1346.817,1405.054,23,20
2000-09-17,2000,0,,CHI,NYG,1415.003,1507.213,0.4609215255744283,0.5390784744255717,1396.068,1526.148,7,14
2000-09-17,2000,0,,CAR,ATL,1495.069,1456.945,0.6441974789917907,0.3558025210082093,1470.849,1481.165,10,15
2000-09-17,2000,0,,LAR,SF,1642.009,1365.35,0.8772613119071933,0.12273868809280675,1648.15,1359.208,41,24
2000-09-18,2000,0,,WSH,DAL,1528.539,1453.139,0.69172737371591,0.30827262628409,1499.783,1481.895,21,27
2000-09-24,2000,0,,BAL,CIN,1517.122,1327.042,0.8128077599958016,0.18719224000419843,1529.326,1314.838,37,0
2000-09-24,2000,0,,OAK,CLE,1537.487,1346.817,0.8133239645454308,0.18667603545456923,1548.511,1335.794,36,10
2000-09-24,2000,0,,PIT,TEN,1405.054,1609.457,0.30949780016763073,0.6905021998323693,1396.985,1617.527,20,23
2000-09-24,2000,0,,ATL,LAR,1481.165,1648.15,0.3573067595170801,0.64269324048292,1460.055,1669.26,20,41
2000-09-24,2000,0,,NO,PHI,1370.366,1439.274,0.4943761730846153,0.5056238269153848,1343.637,1466.003,7,21
2000-09-24,2000,0,,LAC,SEA,1428.115,1487.586,0.5079561989950505,0.4920438010049495,1405.737,1509.964,12,20
2000-09-24,2000,0,,TB,NYJ,1632.784,1609.439,0.6244676013653312,0.3755323986346688,1611.842,1630.381,17,21
2000-09-24,2000,0,,MIA,NE,1545.296,1462.055,0.7012681083811325,0.2987318916188675,1556.936,1450.415,10,3
2000-09-24,2000,0,,DEN,KC,1584.704,1516.467,0.6828659080754255,0.31713409192457453,1574.627,1526.544,22,23
2000-09-24,2000,0,,DAL,SF,1481.895,1359.208,0.7465721735861122,0.25342782641388784,1434.713,1406.391,24,41
2000-09-24,2000,0,,ARI,GB,1422.155,1513.189,0.46260402625030556,0.5373959737496945,1392.018,1543.326,3,29
2000-09-24,2000,0,,CHI,DET,1396.068,1472.661,0.48332252087859146,0.5166774791214086,1376.073,1492.657,14,21
